x,y,color
266.1188207684637,175.40721111920797,0
263.6509321219214,109.2780426486216,0
196.04244610438744,155.5824083591394,0
261.0070689845716,121.45472495121194,0
280.61035842144213,160.58654951758675,0
289.2209498479544,172.38594328084358,0
241.0838344803157,191.8572063335833,0
275.3021019121054,189.46158600318708,0
216.50578360708644,141.02212698826,0
225.2903531845732,101.23586874340602,0
298.625536999408,150.36899903001196,0
298.04432323257373,99.55680429074398,0
266.08308487919544,150.82385426632052,0
254.06501029276848,106.1233893534204,0
242.1453505705177,204.34151060583807,0
234.15488540524493,159.22630893429056,0
227.10824082922863,169.06709396342,0
221.03658580601112,185.53114243188003,0
269.1150104073096,204.0445317306788,0
191.98343480904725,189.10895229794647,0
257.54591882045435,152.1041039218069,0
298.3215174941204,159.15158418473163,0
306.06814264440226,185.88054554531644,0
289.1163667128524,166.75794526085508,0
282.96408725689594,168.98775126751624,0
257.4994915828161,195.94075044008332,0
234.258653471278,152.72339734456546,0
238.9864957448736,178.893309364734,0
242.2345826395812,99.01862587004156,0
213.82609462359812,203.53890179826664,0
287.48053112847754,196.0993611077689,0
237.79185146293912,106.3052099746606,0
260.1637699670317,91.67617373541192,0
286.23755003111063,96.93110795001022,0
281.2889021594337,160.05670862827253,0
203.49318246915456,179.2964535585986,0
223.6886186587976,191.28744165307413,0
280.56617769999866,101.8872822282398,0
292.9794292182403,154.71906249776035,0
254.0887418546708,127.41886647943608,0
256.4597433089977,203.8474274721567,0
251.43100923975337,121.21734813419562,0
232.12283116338668,164.75205056708796,0
304.6495038352714,146.332934566771,0
282.0012412711316,183.11481621879503,0
219.2081932447496,156.54749837212043,0
217.2627482333153,183.91264157080008,0
233.34119972146783,202.47097271214903,0
284.4715427892234,190.9537486531112,0
245.4794641588973,205.4085284468001,0
263.606082224382,108.78955298168684,0
227.82404689214545,186.0420548069501,0
264.2654768049659,142.3529907803054,0
194.102555001094,178.46585570994412,0
231.60746572026028,117.8003486156492,0
254.5803042934235,117.77244801756372,0
256.3121133268151,110.63871034747756,0
267.0691980687077,161.35106594836807,0
295.17759814138793,121.78075448122372,0
252.34183133502304,192.0318229738401,0
230.48965744492224,149.99188710680122,0
198.79457067066144,185.9817422775983,0
287.2295819791022,154.21290569400733,0
217.6370816513895,130.58002345308066,0
221.7148668619096,192.7492113204884,0
232.6328461065704,134.0715008214612,0
241.3110683503384,102.35677797277071,0
258.0619165839812,189.5180031331473,0
303.6473176304176,160.56928187520944,0
207.20053179659047,165.60907922559625,0
250.77221361720308,197.3250492935188,0
222.0417086477065,135.00288675843723,0
216.6852605185084,100.86797160353888,0
289.962488408409,161.26328121825117,0
293.9775329750709,180.63467295647004,0
212.1579063509496,149.97175717414171,0
246.17532599098303,120.6986662046636,0
243.5946305281729,96.26433378970935,0
287.22126965304983,150.74211924686355,0
211.95146036624925,174.47157478055448,0
217.5387234142304,124.23171913711532,0
282.2007458153266,166.18164877328323,0
266.2089644172026,98.75824166372492,0
259.5546104354792,172.48955029343537,0
290.4877746385202,207.08510945389412,0
279.6496859071626,92.07483273331052,0
234.6120407270605,165.4344646954595,0
238.8943639525187,113.48017976637176,0
224.8751133070366,103.50949380751864,0
217.9365804209123,178.90856661751553,0
247.5429253105938,147.67005216106477,0
219.5349367976492,164.36527211588768,0
239.7840228439332,192.5052988662827,0
275.7020448628113,170.4057893410445,0
265.0953143801114,152.85372517383644,0
225.2476539656269,103.91482116271928,0
266.6003942068704,133.2592156254904,0
287.85872609920153,196.57913594153,0
232.3011544534301,93.71956027060855,0
270.0007754804452,109.9623541352216,0
252.7830503948924,156.27469808029403,0
230.4746302144296,169.34225761043592,0
218.0187850289336,194.6076985470864,0
223.14124733365023,191.15171546017777,0
205.4609300512912,166.6370403409799,0
257.17346063654,151.6445344978747,0
237.41503403014497,109.61391925180207,0
207.76579088015023,136.2301188596287,0
224.49555375688973,202.48341251659767,0
241.213917708952,196.90444411670623,0
273.2737775866412,142.9561025133736,0
296.46603209599004,185.96223505394028,0
236.8255894660292,169.35842533261487,0
308.12774440181283,163.10252343118225,0
197.82685396282025,154.6224985968794,0
217.6985563058856,152.30333689625968,0
229.35595527370728,159.0721933015673,0
228.94541509498475,111.4081648237436,0
219.9568280124077,180.182850357166,0
290.55707462223063,155.22919127238652,0
283.787134931922,153.52891467037728,0
264.474195299189,162.67854139470296,0
280.59664702634893,153.04874706640337,0
297.39628116958465,113.72653303058708,0
248.7271492133929,137.1082600545191,0
207.82988589515617,142.71339405133656,0
290.2885675125652,187.18403201404652,0
232.0324149556428,104.33966845357892,0
286.09118388389584,104.38281946568225,0
196.6815963160561,112.16578738189978,0
297.9659709185299,142.71376035966364,0
200.60272114117043,152.8589964332295,0
220.5642239371488,108.6803590053948,0
194.9553212930216,134.24287259394615,0
306.0033119934566,160.43016073713025,0
233.234922172686,155.92500252938183,0
222.1788081585135,142.3782709341402,0
215.184872620364,115.39985377900967,0
279.7128914329468,140.4654377410715,0
278.79916395812074,124.12991819089189,0
229.01359691834304,189.4351235988669,0
260.9111249855423,138.86971972237626,0
220.92512602164612,120.36052575307014,0
264.2981888046808,108.09643936935028,0
292.0354231958758,113.5275449361072,0
258.5309631704925,173.24879463081797,0
286.04543636669155,185.047143843506,0
222.00958972695736,157.86795798375425,0
227.63911476454825,179.18786832945182,0
242.06016034112707,125.61635864412432,0
251.24426022027492,201.9271531521597,0
226.6574645233125,198.84510784568693,0
238.99419352388745,111.20766327937731,0
296.745098092892,144.6246483250064,0
203.44637792932525,151.11235460656627,0
274.2392792155278,114.74817365886882,0
289.8652481108965,117.71494612236124,0
246.429107919172,148.09954262481207,0
209.85242109300367,205.7218860707942,0
254.16126171531675,188.3282102551191,0
280.372993431642,191.7252827047572,0
252.1211418580729,151.28247876886064,0
281.7954947277084,184.9600650352612,0
238.3367311811141,198.04024891275995,0
208.6665338375031,153.17702682349673,0
289.6872923205601,168.9520327664576,0
200.62088150488185,165.48664241590808,0
284.29552145991653,150.28565527051518,0
269.1825060183828,149.0934446814552,0
217.390283893093,168.10989579245987,0
214.8265524913176,167.89877563407376,0
215.09746863631625,142.05707454571984,0
282.4811024576724,180.78537856812176,0
242.0106080427765,112.82759419815144,0
209.7893198092737,142.9919060806613,0
260.9158987053436,195.36648970692428,0
203.55582199868527,124.79406615171968,0
212.5589870024537,120.1474460445108,0
216.0669873998349,183.86501286475905,0
274.6273194882232,116.39407518177995,0
265.26836288798364,151.2159596523448,0
290.4230806156684,149.29787598982142,0
236.8346816746424,146.7245767875724,0
266.99142384527386,184.22051099211004,0
213.739407260204,197.19931293618612,0
250.1900053286573,103.78410221396946,0
216.62301948527704,128.38951898026653,0
213.9797740753724,159.74809777626112,0
286.5515674222972,108.339490063607,0
281.4693425543183,125.81499885007142,0
247.6259150624776,111.4218050726557,0
256.2847936228171,127.06755386852282,0
209.70782144070327,106.99895513267924,0
237.09318254554705,157.49747516485337,0
279.47759328714733,203.87545236696928,0
253.81542230409988,152.0017148443651,0
283.95676802336874,125.74553149523663,0
203.64031157042547,178.98126174213448,0
296.4687154494742,118.66422867136043,0
293.804983460499,168.41007679677045,0
283.2963158383052,134.9194653420377,0
231.1182611159937,150.01833711502616,0
227.3276260757764,136.43234582342956,0
239.28568575375692,192.5547279742277,0
214.6100824335208,138.97449720275245,0
204.3126193151684,157.43184977661315,0
275.72415029609687,156.99937041358896,0
247.10704800132444,191.978084270318,0
